48756220 function calls (48441777 primitive calls) in 1809.791 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.168    0.168 1789.265 1789.265 api.py:48(pytket_to_qir)
        1  941.320  941.320  941.364  941.364 {built-in method pytket._tket.passes.apply}
        1  776.233  776.233  846.033  846.033 conversion.py:1088(circuit_to_module)
    95782    2.044    0.000   63.458    0.001 conversion.py:606(conv_conditional)
    95782   21.173    0.000   49.100    0.001 {method 'if_' of 'builtins.Builder' objects}
    95782    0.041    0.000   27.809    0.000 conversion.py:719(<lambda>)
    95782    1.570    0.000   27.768    0.000 conversion.py:691(condition_block_true)
    95782    1.061    0.000   26.198    0.000 conversion.py:1218(command_to_module)
        1    0.000    0.000   20.523   20.523 qasm.py:952(circuit_from_qasm)
        1    0.000    0.000   20.523   20.523 qasm.py:991(circuit_from_qasm_io)
        1    0.069    0.069   20.523   20.523 qasm.py:975(circuit_from_qasm_str)
   186090   18.316    0.000   18.316    0.000 {method 'call' of 'builtins.Builder' objects}
        1    0.000    0.000   17.537   17.537 lark.py:640(parse)
        1    0.000    0.000   17.537   17.537 parser_frontends.py:100(parse)
        1    0.000    0.000   17.537   17.537 lalr_parser.py:40(parse)
        1    0.000    0.000   17.537   17.537 lalr_parser.py:83(parse)
        1    0.362    0.362   17.537   17.537 lalr_parser.py:91(parse_from_state)
   625068    4.260    0.000   10.842    0.000 lalr_parser_state.py:67(feed_token)
    31277    0.236    0.000   10.702    0.000 conversion.py:1065(conv_other)
   245130    8.831    0.000    8.831    0.000 {built-in method pyqir._native.const}
    18694    1.375    0.000    8.449    0.000 conversion.py:803(conv_phasedx)
    24960    0.020    0.000    6.731    0.000 _basicqis.py:81(rz)
    24960    6.711    0.000    6.711    0.000 {built-in method pyqir._native.rz}
   625068    0.433    0.000    6.334    0.000 lexer.py:661(lex)
   625068    1.742    0.000    5.817    0.000 lexer.py:590(next_token)
     8320    0.432    0.000    5.749    0.001 conversion.py:774(conv_ZZPhase)
  1152748    1.019    0.000    4.687    0.000 parse_tree_builder.py:145(__call__)
    83162    0.102    0.000    4.098    0.000 _simple.py:72(qubits)
    83162    1.400    0.000    3.996    0.000 _simple.py:75(<listcomp>)
        7    2.370    0.339    2.900    0.414 {built-in method pytket._tket.circuit.from_dict}
    10505    0.079    0.000    2.486    0.000 conversion.py:907(conv_classicalexpbox)
    31534    0.021    0.000    2.474    0.000 conversion.py:443(_to_qis_qubits)
    31534    0.232    0.000    2.453    0.000 conversion.py:444(<listcomp>)
   838875    0.458    0.000    2.252    0.000 lexer.py:587(match)
  4657072    1.962    0.000    1.962    0.000 {built-in method pyqir._native.qubit}
        7    0.066    0.009    1.830    0.261 qasm.py:908(prog)
   904545    0.581    0.000    1.727    0.000 lexer.py:387(match)
58284/21010    0.104    0.000    1.707    0.000 conversion.py:517(_get_ssa_from_cl_bit_op)
        1    1.109    1.109    1.573    1.573 _simple.py:106(ir)
    25219    0.133    0.000    1.348    0.000 conversion.py:1007(conv_SetBitsOp)
     2159    0.020    0.000    1.263    0.001 conversion.py:897(conv_measure)
  1045687    1.106    0.000    1.106    0.000 {method 'match' of 're.Pattern' objects}
  1177018    0.313    0.000    1.005    0.000 parse_tree_builder.py:363(default_callback)
     6317    0.005    0.000    0.957    0.000 _basicqis.py:55(reset)
     6317    0.952    0.000    0.952    0.000 {built-in method pyqir._native.reset}
   625145    0.296    0.000    0.846    0.000 lexer.py:202(__new__)
    31277    0.812    0.000    0.812    0.000 conversion.py:427(_get_optype_and_params)
      257    0.002    0.000    0.782    0.003 conversion.py:1044(conv_BarrierOp)
5866071/5652835    0.647    0.000    0.763    0.000 {built-in method builtins.isinstance}
    71660    0.132    0.000    0.760    0.000 qasm.py:717(assign)
  1621845    0.577    0.000    0.720    0.000 lexer.py:265(__eq__)
  1177018    0.458    0.000    0.692    0.000 visitors.py:171(__default__)
  4702805    0.654    0.000    0.654    0.000 _simple.py:67(context)
    75084    0.133    0.000    0.635    0.000 qasm.py:609(ifc)
   838875    0.480    0.000    0.621    0.000 lexer.py:292(feed)
   625145    0.426    0.000    0.550    0.000 lexer.py:213(_future_new)
    29142    0.108    0.000    0.541    0.000 qasm.py:518(_logic_exp)
29142/10505    0.210    0.000    0.530    0.000 logic_exp.py:243(from_dict)
        7    0.516    0.074    0.516    0.074 qasm.py:921(<listcomp>)
  1485857    0.353    0.000    0.478    0.000 grammar.py:124(__eq__)
        1    0.464    0.464    0.464    0.464 {method 'verify' of 'builtins.Module' objects}
    37542    0.200    0.000    0.428    0.000 qasm.py:597(cond)
    10505    0.029    0.000    0.410    0.000 qasm.py:701(_cexpbox_dict)
    16744    0.009    0.000    0.353    0.000 qasm.py:587(<lambda>)
  4905545    0.335    0.000    0.335    0.000 {method 'append' of 'list' objects}
    95782    0.329    0.000    0.329    0.000 conversion.py:1222(<listcomp>)
3532151/3531116    0.299    0.000    0.300    0.000 {built-in method builtins.len}
    16744    0.287    0.000    0.287    0.000 {method 'xor' of 'builtins.Builder' objects}
   140782    0.135    0.000    0.248    0.000 qasm.py:226(_extract_reg)
  1177018    0.234    0.000    0.234    0.000 tree.py:61(__init__)
    58284    0.083    0.000    0.209    0.000 logic_exp.py:751(create_logic_exp)
    20786    0.069    0.000    0.193    0.000 qasm.py:403(mixedcall)
    79657    0.031    0.000    0.191    0.000 qasm.py:334(_get_arg)
    10505    0.076    0.000    0.190    0.000 qasm.py:670(_calc_exp_io)
    29142    0.124    0.000    0.185    0.000 qasm.py:544(_get_logic_args)
    10345    0.184    0.000    0.184    0.000 {method 'or_' of 'builtins.Builder' objects}
    10345    0.005    0.000    0.177    0.000 qasm.py:582(<lambda>)
    79657    0.036    0.000    0.161    0.000 qasm.py:330(_get_uid)
    95782    0.159    0.000    0.159    0.000 conversion.py:1223(<listcomp>)
  1486209    0.156    0.000    0.156    0.000 grammar.py:121(__hash__)
  1167436    0.152    0.000    0.152    0.000 {method 'group' of 're.Match' objects}
   838875    0.124    0.000    0.144    0.000 lexer.py:581(scanner)
   106618    0.042    0.000    0.132    0.000 typing.py:1327(__instancecheck__)
   626279    0.124    0.000    0.124    0.000 {built-in method __new__ of type object at 0x866f00}
   138317    0.020    0.000    0.122    0.000 {built-in method builtins.next}
      257    0.001    0.000    0.119    0.000 conversion.py:319(_add_barrier_op)
    95782    0.031    0.000    0.119    0.000 conversion.py:720(<lambda>)
    65670    0.040    0.000    0.117    0.000 lexer.py:311(__call__)
    87542    0.039    0.000    0.117    0.000 {built-in method builtins.all}
29142/10505    0.060    0.000    0.110    0.000 logic_exp.py:225(to_dict)
    18830    0.022    0.000    0.107    0.000 uuid.py:721(uuid4)
    37542    0.064    0.000    0.103    0.000 logic_exp.py:767(create_predicate_exp)
   134532    0.039    0.000    0.101    0.000 qasm.py:340(unroll_all_args)
    58284    0.068    0.000    0.097    0.000 logic_exp.py:664(create_bit_logic_exp)
        1    0.047    0.047    0.091    0.091 conversion.py:112(__init__)
   106618    0.056    0.000    0.090    0.000 typing.py:1602(__subclasscheck__)
29142/10505    0.059    0.000    0.089    0.000 logic_exp.py:200(all_inputs_ordered)
    95782    0.087    0.000    0.087    0.000 conversion.py:699(condition_block_false)
    31277    0.086    0.000    0.086    0.000 gatesets.py:148(<lambda>)
    58284    0.036    0.000    0.085    0.000 logic_exp.py:249(<genexpr>)
   625068    0.084    0.000    0.084    0.000 lalr_parser_state.py:46(position)
    60445    0.067    0.000    0.067    0.000 {built-in method pytket._tket.unit_id.to_list}
    50006    0.035    0.000    0.065    0.000 enum.py:688(__call__)
   104253    0.049    0.000    0.064    0.000 enum.py:193(__get__)
    18830    0.050    0.000    0.060    0.000 uuid.py:139(__init__)
      106    0.001    0.000    0.057    0.001 conversion.py:1022(conv_CopyBitsOp)
   213808    0.055    0.000    0.055    0.000 {method 'count' of 'str' objects}
      514    0.004    0.000    0.045    0.000 qasm.py:379(barr)
        1    0.017    0.017    0.044    0.044 api.py:174(trans)
      257    0.003    0.000    0.040    0.000 qasm.py:380(<listcomp>)
        1    0.000    0.000    0.038    0.038 qasm.py:1130(_retrieve_registers)
     2053    0.037    0.000    0.037    0.000 {method 'and_' of 'builtins.Builder' objects}
    12634    0.010    0.000    0.036    0.000 qasm.py:396(reset)
    87426    0.024    0.000    0.035    0.000 qasm.py:527(<genexpr>)
    50006    0.030    0.000    0.030    0.000 enum.py:1095(__new__)
    63030    0.028    0.000    0.028    0.000 {built-in method pytket._tket.circuit.get_exp}
    18830    0.028    0.000    0.028    0.000 uuid.py:280(__str__)
        1    0.025    0.025    0.027    0.027 api.py:176(<listcomp>)
     2053    0.001    0.000    0.026    0.000 qasm.py:580(<lambda>)
    54937    0.026    0.000    0.026    0.000 qasm.py:352(margs)
    45711    0.025    0.000    0.025    0.000 {built-in method double}
    18830    0.024    0.000    0.024    0.000 {built-in method posix.urandom}
        1    0.002    0.002    0.023    0.023 qasm.py:1136(<dictcomp>)
    75028    0.018    0.000    0.023    0.000 qasm.py:525(<genexpr>)
    95783    0.023    0.000    0.023    0.000 _simple.py:82(builder)
    45886    0.018    0.000    0.023    0.000 qasm.py:528(<genexpr>)
      869    0.013    0.000    0.022    0.000 {built-in method builtins.max}
    47943    0.017    0.000    0.021    0.000 parse_tree_builder.py:20(__call__)
       32    0.000    0.000    0.020    0.001 lexer.py:568(_build_scanner)
        1    0.019    0.019    0.019    0.019 api.py:125(<listcomp>)
   102117    0.018    0.000    0.018    0.000 enum.py:798(<genexpr>)
   106703    0.012    0.000    0.018    0.000 {built-in method builtins.issubclass}
      397    0.000    0.000    0.018    0.000 __init__.py:272(_compile)
    37542    0.018    0.000    0.018    0.000 logic_exp.py:554(__init__)
       33    0.000    0.000    0.017    0.001 _compiler.py:740(compile)
       37    0.000    0.000    0.016    0.000 lexer.py:357(__init__)
       37    0.000    0.000    0.016    0.000 lexer.py:368(_build_mres)
        1    0.000    0.000    0.016    0.016 qasm.py:945(set_parser)
        1    0.000    0.000    0.016    0.016 qasm.py:930(parser)
        1    0.000    0.000    0.016    0.016 lark.py:270(__init__)
    31277    0.016    0.000    0.016    0.000 conversion.py:1067(<listcomp>)
       37    0.000    0.000    0.016    0.000 __init__.py:225(compile)
    33488    0.014    0.000    0.014    0.000 logic_exp.py:427(__init__)
      107    0.002    0.000    0.014    0.000 {built-in method builtins.any}
     4318    0.003    0.000    0.014    0.000 qasm.py:375(meas)
    18904    0.014    0.000    0.014    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.014    0.014 lark.py:527(_load)
    37214    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
    29142    0.014    0.000    0.014    0.000 enum.py:794(__iter__)
    55652    0.013    0.000    0.013    0.000 {method 'rindex' of 'str' objects}
    21729    0.012    0.000    0.013    0.000 qasm.py:1133(<genexpr>)
       33    0.000    0.000    0.012    0.000 _parser.py:979(parse)
   419/33    0.001    0.000    0.012    0.000 _parser.py:456(_parse_sub)
    29142    0.012    0.000    0.012    0.000 enum.py:1197(__str__)
  680/174    0.004    0.000    0.012    0.000 _parser.py:516(_parse)
    10386    0.009    0.000    0.010    0.000 qasm.py:400(pars)
    29148    0.010    0.000    0.010    0.000 typing.py:373(inner)
     8322    0.010    0.000    0.010    0.000 qasm.py:263(f)
        1    0.009    0.009    0.009    0.009 api.py:124(<listcomp>)
    29235    0.009    0.000    0.009    0.000 {method 'update' of 'dict' objects}
    21010    0.006    0.000    0.009    0.000 qasm.py:681(<genexpr>)
    21728    0.008    0.000    0.008    0.000 qasm.py:1135(<lambda>)
    98081    0.008    0.000    0.008    0.000 typing.py:2287(cast)
    31277    0.008    0.000    0.008    0.000 enum.py:1257(value)
    55644    0.008    0.000    0.008    0.000 qasm.py:912(<lambda>)
    33408    0.008    0.000    0.008    0.000 qasm.py:692(<lambda>)
    20690    0.007    0.000    0.007    0.000 logic_exp.py:415(__init__)
    72975    0.007    0.000    0.007    0.000 enum.py:1252(name)
2716/1902    0.003    0.000    0.007    0.000 utils.py:74(deserialize)
    29144    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.007    0.007 parser_frontends.py:30(_deserialize_parsing_frontend)
    37542    0.006    0.000    0.006    0.000 qasm.py:654(<lambda>)
   3736/9    0.001    0.000    0.006    0.001 utils.py:35(_deserialize)
10513/10506    0.003    0.000    0.006    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.006    0.006 utils.py:112(deserialize)
        1    0.000    0.000    0.006    0.006 utils.py:42(<dictcomp>)
    10393    0.005    0.000    0.005    0.000 qasm.py:465(<listcomp>)
    31277    0.005    0.000    0.005    0.000 conversion.py:446(_to_qis_results)
       32    0.000    0.000    0.005    0.000 lexer.py:334(_create_unless)
    46230    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
    35830    0.005    0.000    0.005    0.000 qasm.py:667(cop)
       33    0.000    0.000    0.004    0.000 _compiler.py:573(_code)
    16744    0.004    0.000    0.004    0.000 conversion.py:98(<lambda>)
      679    0.002    0.000    0.004    0.000 conversion.py:458(_reg2ssa_var)
    18830    0.004    0.000    0.004    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.004    0.004 parser_frontends.py:48(__init__)
        1    0.000    0.000    0.004    0.004 parser_frontends.py:150(create_contextual_lexer)
   506/33    0.002    0.000    0.003    0.000 _compiler.py:37(_compile)
        1    0.001    0.001    0.003    0.003 lexer.py:631(__init__)
        1    0.000    0.000    0.003    0.003 auto_rebase.py:34(auto_rebase_pass)
        1    0.003    0.003    0.003    0.003 {built-in method pytket._tket.passes.AutoRebase}
10513/10506    0.003    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.003    0.003 qasm.py:904(incl)
        1    0.000    0.000    0.003    0.003 qasm.py:239(_load_include_module)
        1    0.000    0.000    0.003    0.003 __init__.py:108(import_module)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1192(_gcd_import)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1165(_find_and_load)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
        6    0.000    0.000    0.003    0.000 qasm.py:835(gdef)
        1    0.000    0.000    0.003    0.003 lalr_parser.py:27(deserialize)
